"","SampleID","sample","ave.mf","AveDepth"
"1","mm10.10",1,0.0187498349045354,5380.5296969697
"2","mm10.2",2,0.0222599341963823,7284.35515151515
"3","mm10.3",3,0.0200597683002759,7415.81333333333
"4","mm10.6",4,0.0257774598668152,1772.48561151079
"5","mm10.8",5,0.0194293597330138,3020.59272727273
"6","mm156.11",6,0.0124344091169536,10982.943030303
"7","mm156.3",7,0.0123254187199151,9006.0021141649
"8","mm156.7",8,0.0109261086914164,12460.8424242424
"9","mm174.13",9,0.0129847942581264,11676.9490909091
"10","mm174.2",10,0.0186033082145252,15179.9748201439
"11","mm174.3",11,0.0142715054713408,13034.7889688249
"12","mm174.7",12,0.0100104711795999,14737.0775757576
"13","mm198.10",13,0.0148382513588051,10039.6084848485
"14","mm198.2",14,0.0232118750745756,10932.1781818182
"15","mm198.3",15,0.0223693603403149,12194.2846715328
"16","mm198.4",16,0.0236544874545383,9341.73600973236
"17","mm198.6",17,0.0194219653549498,10342.4339393939
"18","mm198.8",18,0.0145224300431475,12472.7406060606
"19","mmStock",19,0.0192829437974691,4629.94364508393
