"","Cohort","Monkey","Tissue2","Tissue3","Week","filename","no.sites","no.syn.sites","no.ns.sites","mean","mean.syn","mean.ns","median","mutated.sites.no","mutated.sites","se"
"1","Mtb R","16314","Plasma","Plasma",3,"Run_4_01_Animal_16314",1170,585,585,0.00209425700535215,0.000672193716388034,0.00130133193133504,0.00202395776698178,NA,NA,3.66547179309656e-06
"2","Mtb R","16314","Plasma_nex","Plasma nex",8,"Run_4_02_Animal_16314",1170,585,585,0.00201041610220384,0.00067727202945812,0.00123868272503077,0.00192788661942476,0,NA,4.00164027307791e-06
"3","Mtb R","16314","pLN","Peripheral LN",8,"Run_4_03_Animal_16314",1170,585,585,0.00183372334944315,0.000585179199709402,0.00116890385376068,0.00177631111497075,0,NA,5.26279245161178e-06
"4","Mtb R","16314","tLN","Thoracic LN",8,"Run_4_04_Animal_16314",1170,585,585,0.0020672220660933,0.000730252609384615,0.00126555922030598,0.00173117638113954,0,NA,6.64171349333188e-06
"5","Mtb R","16314","tLN","Thoracic LN",8,"Run_4_05_Animal_16314",1170,585,585,0.00228293631176807,0.000838112086273504,0.00132322257936752,0.00179163648839248,0,NA,9.09586037309679e-06
"6","Mtb R","20615","Plasma","Plasma",3,"Run_4_06_Animal_20615",1170,585,585,0.0020650703930639,0.000640215251948718,0.00134491827761197,0.00182163582897442,0,NA,4.23695706809902e-06
"7","Mtb R","20615","Plasma_nex","Plasma nex",6,"Run_4_07_Animal_20615",1170,585,585,0.00254588232700445,0.000958086988895727,0.00151186875030427,0.00193985067336543,0,NA,5.62396797022568e-06
"8","Mtb R","20615","pLN","Peripheral LN",6,"Run_4_08_Animal_20615",1170,585,585,0.00217695888073586,0.00066053897325641,0.00146188344949573,0.00174954685160375,0,NA,3.13240986856603e-06
"9","Mtb R","20615","tLN","Thoracic LN",6,"Run_4_09_Animal_20615",1170,585,585,0.00232126899130894,0.000696833405618803,0.00156738699282222,0.00183334861123843,0,NA,6.41172589952685e-06
"10","Mtb R","20615","tLN","Thoracic LN",6,"Run_4_10_Animal_20615",1170,585,585,0.00234810575699225,0.00067791944408547,0.00160413876373675,0.00189309774783582,0,NA,6.01572643161776e-06
"11","Mtb R","3516","Plasma","Plasma",3,"Run_4_11_Animal_3516",1170,585,585,0.00183306818765283,0.000584398560871795,0.00116622960087179,0.00171065156510823,0,NA,6.89953790096576e-06
