"","monkey","Mean_plasma-pLN","Mean_plasma-tLN","Mean_plasma-Lung","Pvalue_pLNvs.tLN","Pvalue_pLNvs.lung","Pvalue_tLNvs.Lung","Median_plasma.pLN","Median_plasma.tLN","Median_plasma.Lung"
"1","16314",0.024360143438653,0.0615204237019422,0.0201963093459202,1,1,1,0.00204918032786885,0.00257680491551459,0.00191259695703888
"2","20615",0.0311732351990523,0.0319615092850343,0.0161225390617779,0.664976887409591,0.664976887409591,0.196583732864451,0.00123276655247629,0.000774897298376877,0.00302227357703891
"3","30816",0.0173106209320448,0.0155161672762199,NA,0.106491426416159,NA,NA,0.00144483747858042,0.00288244466209044,NA
"4","3116",0.00419625073375294,0.0039683534503963,0.00384829707645122,0.453059660240827,0.133254955303708,0.0153559354448049,0.00236630383341221,0.00416310199868538,0.00088120607633283
"5","31316",0.0101656607258116,0.0121852931068303,0.0364669115874473,0.254057966937419,0.668987939058205,0.668987939058205,0.00594553188972653,0.00272772137797147,0.00173073099287581
"6","3216",0.0593581992971735,0.0881266399069637,0.0807164254398258,0.770243134136199,0.804565751512813,0.770243134136199,0.00387403415646554,0.00543642028201785,0.0042609946408903
"7","3316",0.0132181505320798,0.00879058503476609,NA,0.584746100084924,NA,NA,0.00819577773100969,0.00873464494960159,NA
"8","3516",0.0247454680140547,0.0318402347962358,0.013140651342295,0.77484389991344,0.41098770229902,0.77484389991344,0.00135248085805912,0.00160644363155193,0.00224946692434948
"9","3616",0.00776453831418458,0.0504245994200002,NA,0.0354629890233605,NA,NA,0.00157099723087224,0.0185935472674628,NA
"10","3816",0.0467957001691294,0.0823375481402178,0.0895280529302646,1,1,1,0.0122739618134183,0.0117206051242174,0.0119408792394574
"11","4016",0.0145554332340568,0.0245045979740493,0.0144944500782874,0.13974000106971,0.809854263179047,0.332228548639357,0.00182926386688921,0.00829889807162535,0.00131102454855883
