"","ref251.pos","Animal:4016 Week8: plasma","Animal:4016 Week8: L cran HLN 1","Animal:4016 Week8: LUL","Animal:4016 Week8: L ing LN","mean","count"
"1",94,NA,NA,NA,NA,NA,NA
"2",95,0,0,0,0,0,0
"3",96,0,0,0,0,0,0
"4",97,0,2.09630421566778e-05,0,0,5.24076053916944e-06,1
"5",98,0.000144261484244585,4.18200066912011e-05,7.92518624187668e-05,0,6.63333383386382e-05,3
"6",99,2.05952013180929e-05,0.000104462644158449,5.28136470463968e-05,0,4.44678731307347e-05,3
"7",100,0,6.24856803649164e-05,0,0,1.56214200912291e-05,1
"8",101,6.16029076572414e-05,4.16319733555371e-05,2.63157894736842e-05,1.92615135697363e-05,3.72030460140498e-05,4
"9",102,0,0,0,0,0,0
"10",103,8.19924157015476e-05,8.30789041892537e-05,0.000210017851517379,3.83914003263269e-05,0.000103370142933627,4
"11",104,0,0,0,0,0,0
"12",105,0.000102383487591121,6.22522877715756e-05,0.000183553597650514,0,8.70473432533027e-05,3
"13",106,8.18531554391422e-05,4.14593698175788e-05,5.24040351107035e-05,1.9164798098852e-05,4.87203396165691e-05,4
"14",107,0,0,0,0,0,0
"15",108,0.000142982617398942,0.000124167046065974,7.84600899675698e-05,9.54198473282443e-05,0.000110257400190183,4
"16",109,0,0,0,0,0,0
"17",110,0,0,0,1.88139674894642e-05,4.70349187236604e-06,1
"18",111,4.06727269029752e-05,8.23774121135985e-05,0.000104093475941395,3.7467918095131e-05,6.6152883263275e-05,4
"19",112,4.0628110589717e-05,6.17372872635976e-05,0.000129971406290616,3.72189965758523e-05,6.73889501799458e-05,4
"20",113,0,0,0,0,0,0
"21",114,0,0,0,0,0,0
"22",115,2.02281738004693e-05,0,0,0,5.05704345011732e-06,1
"23",116,0,0,2.5862514870946e-05,0,6.46562871773651e-06,1
"24",117,0,0,0,0,0,0
"25",118,0,0,0,0,0,0
"26",119,0,0,0,0,0,0
"27",120,0,0,2.58184446968915e-05,0,6.45461117422286e-06,1
"28",121,0,0,0,0,0,0
"29",122,0,0,0,0,0,0
"30",123,0,0,0,0,0,0
"31",124,0,0,0,0,0,0
"32",125,0,0,0,0,0,0
"33",126,0,0,0,0,0,0
"34",127,0,0,0,0,0,0
"35",128,0,0,0,0,0,0
"36",129,0,0,0,0,0,0
"37",130,0,0,0,0,0,0
"38",131,0,0,0,0,0,0
"39",132,0,0,0,0,0,0
"40",133,0,0,0,0,0,0
"41",134,0,0,0,0,0,0
"42",135,0,0,0,0,0,0
"43",136,0,0,0,1.81702552920869e-05,4.54256382302171e-06,1
"44",137,0,0,0,0,0,0
"45",138,0,0,0,0,0,0
"46",139,0,0,0,0,0,0
"47",140,0,0,0,0,0,0
"48",141,0,0,0,0,0,0
"49",142,0,0,0,0,0,0
"50",143,0,0,0,0,0,0
"51",144,0,0,2.57552733922271e-05,0,6.43881834805676e-06,1
"52",145,0,0,0,0,0,0
"53",146,0,0,0,0,0,0
"54",147,0,0,0,0,0,0
"55",148,2.00722601364914e-05,0,2.57181801815704e-05,0,1.14476100795154e-05,2
"56",149,0,0,0,0,0,0
"57",150,0,0,0,0,0,0
"58",151,0,0,0,0,0,0
"59",152,0,0,0,0,0,0
"60",153,0,0,0,0,0,0
"61",154,0,0,0,5.49279528351978e-05,1.37319882087995e-05,1
"62",155,0,0,0,0,0,0
"63",156,0,0,0,0,0,0
"64",157,0,0,0,0,0,0
"65",158,1.99952011517236e-05,0,0,0,4.9988002879309e-06,1
"66",159,0,0,0,0,0,0
"67",160,0,0,0,0,0,0
"68",161,0,0,0,0,0,0
"69",162,0,0,0,0,0,0
"70",163,0,0,0,0,0,0
"71",164,0,0,0,0,0,0
"72",165,0,0,0,0,0,0
"73",166,0,0,0,0,0,0
"74",167,0,0,0,0,0,0
"75",168,0,0,0,0,0,0
"76",169,0,0,0,0,0,0
"77",170,0,0,0,0,0,0
"78",171,0,0,0,0,0,0
"79",172,0,0,0,0,0,0
"80",173,0,0,0,0,0,0
"81",174,0,0,0,0,0,0
"82",175,0,0,0,0,0,0
"83",176,0,0,0,0,0,0
"84",177,0,0,0,0,0,0
"85",178,0,0,0,0,0,0
