"","ref251.pos","Animal:3316 Week7: plasma","Animal:3316 Week7: L ing LN","Animal:3316 Week7: L cran HLN 1","mean","count"
"1",94,NA,NA,NA,NA,NA
"2",95,0,0,0,0,0
"3",96,0,0,0,0,0
"4",97,0,0,0,0,0
"5",98,9.69947784477602e-05,8.64154856550294e-05,6.51561303774169e-05,8.28554648267355e-05,3
"6",99,8.07911065149948e-05,5.18242122719735e-05,6.51073457362827e-05,6.59075548410837e-05,3
"7",100,0,1.72333568855877e-05,1.62398298065836e-05,1.11577288973905e-05,2
"8",101,3.22201279139078e-05,6.88728950721444e-05,4.86799617050968e-05,4.9924328230383e-05,3
"9",102,0,0,0,0,0
"10",103,8.03987779385753e-05,0.000223390727566416,8.09952698762392e-05,0.000128261591793743,3
"11",104,0,0,0,0,0
"12",105,0.000128503734639788,5.15083357656714e-05,3.2368744740079e-05,7.07936050485128e-05,3
"13",106,8.02542454495843e-05,0.000102930076168256,0.000161663190908062,0.000114949170841968,3
"14",107,0,0,0,0,0
"15",108,0.000176282051282051,0.000154091119215163,0.00016133195663397,0.000163901709043728,3
"16",109,0,0,0,0,0
"17",110,1.59841437294204e-05,3.41273633199099e-05,0,1.67038356831101e-05,2
"18",111,0.000159614371678026,6.81338148122913e-05,9.63762528912876e-05,0.000108041479793868,3
"19",112,1.59517618720988e-05,0.000102115492622156,1.60526527008588e-05,4.47066357317044e-05,3
"20",113,0,0,0,0,0
"21",114,0,0,0,0,0
"22",115,0,0,0,0,0
"23",116,0,0,0,0,0
"24",117,0,0,0,0,0
"25",118,0,0,0,0,0
"26",119,0,0,0,0,0
"27",120,0,0,0,0,0
"28",121,0,0,0,0,0
"29",122,0,0,0,0,0
"30",123,0,0,0,0,0
"31",124,0,0,0,0,0
"32",125,0,0,0,0,0
"33",126,0,0,0,0,0
"34",127,0,0,0,0,0
"35",128,0,0,0,0,0
"36",129,0,0,0,0,0
"37",130,0,0,0,0,0
"38",131,0,0,0,0,0
"39",132,0,0,0,0,0
"40",133,0,0,0,0,0
"41",134,0,0,0,0,0
"42",135,0,0,0,0,0
"43",136,0,0,0,0,0
"44",137,0,0,0,0,0
"45",138,0,0,0,0,0
"46",139,0,0,0,0,0
"47",140,0,0,0,0,0
"48",141,1.58085271195283e-05,0,0,5.26950903984276e-06,1
"49",142,0,0,0,0,0
"50",143,0,0,0,0,0
"51",144,0,0,0,0,0
"52",145,0,0,0,0,0
"53",146,0,0,0,0,0
"54",147,0,0,0,0,0
"55",148,0,0,0,0,0
"56",149,0,0,0,0,0
"57",150,0,0,0,0,0
"58",151,0,0,0,0,0
"59",152,0,1.6790355619732e-05,0,5.59678520657734e-06,1
"60",153,0,0,0,0,0
"61",154,0,0,0,0,0
"62",155,0,0,0,0,0
"63",156,0,0,0,0,0
"64",157,0,0,0,0,0
"65",158,0,0,0,0,0
"66",159,0,0,0,0,0
"67",160,0,0,0,0,0
"68",161,0,0,0,0,0
"69",162,0,0,0,0,0
"70",163,0,0,0,0,0
"71",164,0,0,0,0,0
"72",165,0,0,0,0,0
"73",166,0,0,0,0,0
"74",167,0,0,0,0,0
"75",168,0,0,0,0,0
"76",169,0,0,0,0,0
"77",170,0,0,0,0,0
"78",171,0,0,0,0,0
"79",172,0,0,0,0,0
"80",173,0,0,0,0,0
"81",174,0,0,0,0,0
"82",175,0,0,0,0,0
"83",176,0,0,0,0,0
"84",177,0,0,0,0,0
"85",178,0,0,0,0,0
"86",179,0,0,0,0,0
"87",180,0,0,0,0,0
"88",181,0,0,0,0,0
"89",182,0,0,0,0,0
"90",183,0,0,0,0,0
"91",184,0,0,0,0,0
"92",185,0,0,0,0,0
"93",186,0,0,0,0,0
"94",187,0,0,0,0,0
"95",188,0,0,0,0,0
"96",189,0,0,0,0,0
"97",190,0,0,0,0,0
"98",191,0,0,0,0,0
"99",192,0,0,0,0,0
"100",193,0,0,0,0,0
"101",194,0,0,0,0,0
"102",195,0,0,0,0,0
"103",196,0,0,0,0,0
"104",197,0,0,0,0,0
"105",198,0,0,0,0,0
"106",199,0,0,0,0,0
"107",200,0,0,0,0,0
"108",201,0,0,0,0,0
"109",202,0,0,0,0,0
"110",203,0,0,0,0,0
"111",204,0,0,0,0,0
"112",205,0,0,0,0,0
"113",206,0,0,0,0,0
"114",207,0,0,0,0,0
"115",208,0,0,0,0,0
"116",209,0,0,0,0,0
"117",210,0,0,0,0,0
"118",211,0,0,0,0,0
"119",212,0,0,0,0,0
"120",213,0,0,0,0,0
"121",214,0,0,0,0,0
"122",215,0,0,0,0,0
"123",216,0,0,0,0,0
"124",217,0,0,0,0,0
"125",218,0,0,0,0,0
"126",219,0,0,0,0,0
"127",220,0,0,0,0,0
"128",221,0,0,0,0,0
"129",222,0,0,0,0,0
"130",223,0,0,0,0,0
"131",224,0,0,0,0,0
"132",225,0,0,0,0,0
"133",226,0,0,0,0,0
"134",227,0,0,0,0,0
"135",228,0,0,0,0,0
"136",229,0,0,0,0,0
"137",230,0,0,0,0,0
"138",231,0,0,0,0,0
"139",232,0,0,0,0,0
"140",233,0,0,0,0,0
"141",234,0,0,0,0,0
"142",235,0,0,1.53487229862475e-05,5.11624099541585e-06,1
"143",236,0,0,0,0,0
"144",237,0,0,0,0,0
"145",238,0,0,0,0,0
"146",239,0,0,0,0,0
"147",240,0,0,0,0,0
"148",241,0,0,0,0,0
"149",242,0,0,0,0,0
"150",243,0,0,0,0,0
"151",244,0,0,0,0,0
"152",245,0,0,0,0,0
"153",246,0,0,0,0,0
"154",247,0,0,0,0,0
"155",248,0,0,0,0,0
"156",249,0,0,0,0,0
"157",250,0,0,0,0,0
"158",251,0,0,0,0,0
"159",252,0,0,0,0,0
"160",253,0,0,0,0,0
"161",254,0,0,0,0,0
"162",255,0,0,0,0,0
"163",256,0,0,0,0,0
"164",257,0,0,0,0,0
"165",258,0,0,0,0,0
"166",259,0,0,0,0,0
"167",260,0,0,0,0,0
"168",261,0,0,0,0,0
"169",262,0,0,0,0,0
"170",263,0,0,0,0,0
"171",264,0,0,0,0,0
"172",265,0,0,0,0,0
"173",266,0,0,0,0,0
"174",267,0,0,0,0,0
"175",268,0,0,0,0,0
"176",269,0,0,0,0,0
"177",270,0,0,0,0,0
"178",271,0,0,0,0,0
"179",272,0,0,0,0,0
"180",273,0,0,0,0,0
"181",274,0,0,0,0,0
"182",275,0,0,0,0,0
"183",276,0,0,0,0,0
"184",277,0,0,0,0,0
"185",278,0,0,0,0,0
"186",279,0,0,0,0,0
"187",280,0,0,0,0,0
"188",281,0,0,0,0,0
"189",282,0,0,0,0,0
"190",283,0,0,0,0,0
"191",284,0,0,0,0,0
"192",285,0,0,0,0,0
"193",286,0,0,0,0,0
"194",287,0,0,0,0,0
"195",288,0,0,0,0,0
"196",289,0,0,0,0,0
"197",290,0,0,0,0,0
"198",291,0,0,0,0,0
"199",292,0,0,0,0,0
"200",293,0,0,0,0,0
"201",294,0,0,0,0,0
"202",295,0,0,0,0,0
"203",296,0,0,0,0,0
"204",297,0,0,0,0,0
"205",298,0,0,0,0,0
"206",299,0,0,0,0,0
"207",300,0,0,0,0,0
"208",301,0,0,0,0,0
"209",302,0,0,0,0,0
"210",303,0,0,0,0,0
"211",304,0,3.49412114117997e-05,0,1.16470704705999e-05,1
"212",305,0,0,1.65013778650517e-05,5.50045928835058e-06,1
"213",306,0,0,0,0,0
"214",307,0,0,0,0,0
"215",308,0,0,0,0,0
"216",309,0,0,0,0,0
"217",310,0,0,0,0,0
"218",311,0,0,0,0,0
"219",312,0,0,0,0,0
"220",313,1.65417762559344e-05,0,0,5.51392541864479e-06,1
"221",314,0,0,0,0,0
"222",315,0,0,0,0,0
"223",316,0,0,0,0,0
"224",317,1.66586150027487e-05,3.57181126549273e-05,0,1.74589092192253e-05,2
"225",318,0,0,0,0,0
"226",319,0,0,0,0,0
"227",320,0,0,0,0,0
"228",321,0,0,0,0,0
"229",322,0,0,0,0,0
"230",323,0,0,0,0,0
"231",324,0,0,0,0,0
"232",325,0,0,0,0,0
"233",326,0,0,0,0,0
"234",327,0,0,0,0,0
"235",328,0,0,0,0,0
"236",329,0,0,0,0,0
"237",330,0,0,0,0,0
"238",331,0,0,0,0,0
"239",332,0,0,0,0,0
"240",333,0,0,0,0,0
"241",334,0,0,0,0,0
"242",335,0,0,0,0,0
"243",336,0,0,0,0,0
"244",337,0,0,0,0,0
"245",338,0,0,0,0,0
"246",339,0,0,0,0,0
"247",340,0,0,0,0,0
"248",341,0,0,0,0,0
"249",342,0,0,0,0,0
"250",343,0,0,0,0,0
"251",344,0,0,0,0,0
"252",345,0,0,0,0,0
"253",346,0,0,0,0,0
"254",347,0,0,0,0,0
"255",348,0,0,0,0,0
"256",349,0,0,0,0,0
"257",350,0,0,0,0,0
"258",351,0,0,0,0,0
"259",352,0,0,0,0,0
"260",353,0,0,0,0,0
"261",354,0,0,0,0,0
"262",355,0,0,0,0,0
"263",356,0,0,0,0,0
"264",357,0,0,0,0,0
"265",358,0,0,0,0,0
"266",359,0,0,0,0,0
"267",360,0,0,0,0,0
"268",361,0,0,0,0,0
"269",362,0,0,0,0,0
"270",363,0,0,0,0,0
"271",364,0,0,0,0,0
"272",365,0,0,0,0,0
"273",366,2.61910374269925e-05,0,0,8.73034580899749e-06,1
"274",367,0,0,0,0,0
"275",368,0,0,0,0,0
"276",369,0,0,0,0,0
"277",370,0,0,0,0,0
"278",371,0,3.07370750599373e-05,0,1.02456916866458e-05,1
"279",372,0,0,0,0,0
"280",373,0,0,0,0,0
"281",374,0,0,0,0,0
"282",375,0,0,0,0,0
"283",376,0,0,0,0,0
"284",377,0,0,0,0,0
"285",378,0,0,0,0,0
"286",379,0,0,0,0,0
"287",380,3.47391092892378e-05,0,0,1.15797030964126e-05,1
"288",381,0,0,0,0,0
"289",382,0,0,0,0,0
"290",383,0,0,0,0,0
"291",384,0,0,0,0,0
"292",385,0,0,0,0,0
"293",386,0,0,0,0,0
"294",387,0,0,0,0,0
"295",388,0,0,0,0,0
"296",389,0,0,0,0,0
"297",390,0,0,0,0,0
"298",391,0,0,0,0,0
"299",392,0,0,0,0,0
"300",393,0,0,0,0,0
"301",394,0,0,0,0,0
"302",395,0,0,0,0,0
"303",396,NA,0,0,0,NA
"304",397,NA,NA,NA,NA,NA
"305",398,NA,NA,NA,NA,NA
"306",399,NA,NA,NA,NA,NA
"307",400,NA,NA,NA,NA,NA
"308",401,NA,NA,NA,NA,NA
"309",402,NA,NA,NA,NA,NA
"310",403,NA,NA,NA,NA,NA
"311",404,NA,NA,NA,NA,NA
"312",405,NA,NA,NA,NA,NA
"313",406,NA,NA,NA,NA,NA
"314",407,NA,NA,NA,NA,NA
"315",408,NA,NA,NA,NA,NA
"316",409,NA,NA,NA,NA,NA
"317",410,NA,NA,NA,NA,NA
"318",411,NA,NA,NA,NA,NA
"319",412,NA,NA,NA,NA,NA
"320",413,NA,NA,NA,NA,NA
"321",414,NA,NA,NA,NA,NA
"322",415,NA,NA,NA,NA,NA
"323",416,NA,NA,NA,NA,NA
"324",417,NA,NA,NA,NA,NA
"325",418,NA,NA,NA,NA,NA
"326",419,NA,NA,NA,NA,NA
"327",420,NA,NA,NA,NA,NA
"328",421,NA,NA,NA,NA,NA
"329",422,NA,NA,NA,NA,NA
"330",423,NA,NA,NA,NA,NA
"331",424,NA,NA,NA,NA,NA
"332",425,NA,NA,NA,NA,NA
"333",426,NA,NA,NA,NA,NA
"334",427,NA,NA,NA,NA,NA
"335",428,NA,NA,NA,NA,NA
"336",429,NA,NA,NA,NA,NA
"337",430,NA,NA,NA,NA,NA
"338",431,NA,NA,NA,NA,NA
"339",432,NA,NA,NA,NA,NA
"340",433,NA,NA,NA,NA,NA
"341",434,NA,NA,NA,NA,NA
"342",435,NA,NA,NA,NA,NA
"343",436,NA,NA,NA,NA,NA
"344",437,NA,NA,NA,NA,NA
"345",438,NA,NA,NA,NA,NA
"346",439,NA,NA,NA,NA,NA
"347",440,NA,NA,NA,NA,NA
"348",441,NA,NA,NA,NA,NA
"349",442,NA,NA,NA,NA,NA
"350",443,NA,NA,NA,NA,NA
"351",444,NA,NA,NA,NA,NA
"352",445,NA,NA,NA,NA,NA
"353",446,NA,NA,NA,NA,NA
"354",447,NA,NA,NA,NA,NA
"355",448,NA,NA,NA,NA,NA
"356",449,NA,NA,NA,NA,NA
"357",450,NA,NA,NA,NA,NA
"358",451,NA,NA,NA,NA,NA
"359",452,NA,NA,NA,NA,NA
"360",453,NA,NA,NA,NA,NA
"361",454,NA,NA,NA,NA,NA
"362",455,NA,NA,NA,NA,NA
"363",456,NA,NA,NA,NA,NA
"364",457,NA,NA,NA,NA,NA
"365",458,NA,NA,NA,NA,NA
"366",459,NA,NA,NA,NA,NA
"367",460,NA,NA,NA,NA,NA
"368",461,NA,NA,NA,NA,NA
"369",462,NA,NA,NA,NA,NA
"370",463,NA,NA,NA,NA,NA
"371",464,NA,NA,NA,NA,NA
"372",465,NA,NA,NA,NA,NA
"373",466,NA,NA,NA,NA,NA
"374",467,NA,NA,NA,NA,NA
"375",468,NA,NA,NA,NA,NA
"376",469,NA,NA,NA,NA,NA
"377",470,NA,NA,NA,NA,NA
"378",471,NA,NA,NA,NA,NA
"379",472,NA,NA,NA,NA,NA
"380",473,NA,0,NA,0,NA
"381",474,NA,0,NA,0,NA
"382",475,NA,0,NA,0,NA
"383",476,NA,0,NA,0,NA
"384",477,NA,0,NA,0,NA
"385",478,NA,0,NA,0,NA
"386",479,NA,0,NA,0,NA
"387",480,NA,0,NA,0,NA
"388",481,NA,0,NA,0,NA
"389",482,NA,0,NA,0,NA
"390",483,NA,0,NA,0,NA
"391",484,NA,0,NA,0,NA
"392",485,NA,0,NA,0,NA
"393",486,NA,0,NA,0,NA
"394",487,NA,0,NA,0,NA
"395",488,NA,0,NA,0,NA
"396",489,NA,0,NA,0,NA
"397",490,NA,0,NA,0,NA
"398",491,NA,0,NA,0,NA
"399",492,NA,0,NA,0,NA
"400",493,NA,0,NA,0,NA
"401",494,NA,0,NA,0,NA
"402",495,NA,0,NA,0,NA
"403",496,NA,0,NA,0,NA
"404",497,NA,0,NA,0,NA
"405",498,NA,0,NA,0,NA
"406",499,NA,0,NA,0,NA
"407",500,NA,0,NA,0,NA
"408",501,NA,0,NA,0,NA
"409",502,NA,0,NA,0,NA
"410",503,NA,0,NA,0,NA
"411",504,NA,0,NA,0,NA
"412",505,NA,0,NA,0,NA
"413",506,NA,0,NA,0,NA
"414",507,NA,0,NA,0,NA
"415",508,NA,0,NA,0,NA
"416",509,NA,0,NA,0,NA
"417",510,NA,0,NA,0,NA
"418",511,NA,0,NA,0,NA
"419",512,NA,0,NA,0,NA
"420",513,NA,0,NA,0,NA
"421",514,NA,0,NA,0,NA
"422",515,NA,0,NA,0,NA
"423",516,NA,0,NA,0,NA
"424",517,NA,0,NA,0,NA
"425",518,NA,0,NA,0,NA
"426",519,NA,0,NA,0,NA
"427",520,NA,0,NA,0,NA
"428",521,NA,0,NA,0,NA
"429",522,NA,0,NA,0,NA
"430",523,NA,0,NA,0,NA
"431",524,NA,0,NA,0,NA
"432",525,NA,0,NA,0,NA
"433",526,NA,0,NA,0,NA
"434",527,NA,0,NA,0,NA
"435",528,NA,0,NA,0,NA
"436",529,NA,0,NA,0,NA
"437",530,NA,0,NA,0,NA
"438",531,NA,0,NA,0,NA
"439",532,NA,0,NA,0,NA
"440",533,NA,0,NA,0,NA
"441",534,NA,0,NA,0,NA
"442",535,NA,0,NA,0,NA
"443",536,NA,0,NA,0,NA
"444",537,NA,0,NA,0,NA
"445",538,NA,0,NA,0,NA
"446",539,NA,0,0,0,NA
"447",540,NA,0,0,0,NA
"448",541,NA,0,0,0,NA
"449",542,NA,0,0,0,NA
"450",543,NA,0,0,0,NA
"451",544,NA,0,0,0,NA
"452",545,NA,0,0,0,NA
"453",546,NA,0,0,0,NA
"454",547,NA,0,0,0,NA
"455",548,NA,0,0,0,NA
"456",549,NA,0,0,0,NA
"457",550,NA,0,0,0,NA
"458",551,NA,0,0,0,NA
"459",552,NA,0,0,0,NA
"460",553,NA,0,0,0,NA
"461",554,NA,0,0,0,NA
"462",555,NA,0,0,0,NA
"463",556,NA,0,0,0,NA
"464",557,NA,0,0,0,NA
"465",558,NA,0,0,0,NA
"466",559,NA,0,0,0,NA
"467",560,0,0,0,0,0
"468",561,0,0,0,0,0
"469",562,0,0,0,0,0
"470",563,0,0,0,0,0
"471",564,0,0,0,0,0
"472",565,0,0,0,0,0
"473",566,0,0,0,0,0
"474",567,0,0,0,0,0
"475",568,0,0,0,0,0
"476",569,0,0,0,0,0
"477",570,0,0,0,0,0
"478",571,0,0,0,0,0
"479",572,0,0,0,0,0
"480",573,0,0,0,0,0
"481",574,0,0,0,0,0
"482",575,0,0,0,0,0
"483",576,0,0,0,0,0
"484",577,0,0,0,0,0
"485",578,0,0,0,0,0
"486",579,0,0,0,0,0
"487",580,0,0,0,0,0
"488",581,0,0,0,0,0
"489",582,0,0,0,0,0
"490",583,0,0,0,0,0
"491",584,0,0,0,0,0
"492",585,0,0,0,0,0
"493",586,0,0,0,0,0
"494",587,0,0,0,0,0
"495",588,0,0,0,0,0
"496",589,0,0,0,0,0
"497",590,0,0,0,0,0
"498",591,0,0,0,0,0
"499",592,0,0,0,0,0
"500",593,0,0,0,0,0
"501",594,0,0,0,0,0
"502",595,0,0,0,0,0
"503",596,0,0,0,0,0
"504",597,0,0,0,0,0
"505",598,0,0,0,0,0
"506",599,0,0,0,0,0
"507",600,0,2.63047138047138e-05,2.55819902788437e-05,1.72955680278525e-05,2
"508",601,0,0,0,0,0
"509",602,0,0,0,0,0
"510",603,0,0,0,0,0
"511",604,0,0,0,0,0
"512",605,0,0,0,0,0
"513",606,0,0,0,0,0
"514",607,0,0,0,0,0
"515",608,0,0,0,0,0
"516",609,0,0,0,0,0
"517",610,0,0,0,0,0
"518",611,0,0,0,0,0
"519",612,0,0,0,0,0
"520",613,0,0,0,0,0
"521",614,0,0,0,0,0
"522",615,0,0,0,0,0
"523",616,0,0,0,0,0
"524",617,0,0,0,0,0
"525",618,0,0,0,0,0
"526",619,0,0,0,0,0
"527",620,0,0,0,0,0
"528",621,0,0,0,0,0
"529",622,0,0,0,0,0
"530",623,0,0,0,0,0
"531",624,0,0,0,0,0
"532",625,0,0,0,0,0
"533",626,0,0,0,0,0
"534",627,0,0,0,0,0
"535",628,0,0,0,0,0
"536",629,0,0,0,0,0
"537",630,0,0,0,0,0
"538",631,0,0,0,0,0
"539",632,0,0,0,0,0
"540",633,0,0,0,0,0
"541",634,0,0,0,0,0
"542",635,0,0,0,0,0
"543",636,0,0,0,0,0
"544",637,0,0,0,0,0
"545",638,0,0,0,0,0
"546",639,0,0,0,0,0
"547",640,0,0,0,0,0
"548",641,0,0,0,0,0
"549",642,0,0,0,0,0
"550",643,0,0,0,0,0
"551",644,0,0,0,0,0
"552",645,0,0,0,0,0
"553",646,0,0,0,0,0
"554",647,0,0,0,0,0
"555",648,0,0,0,0,0
"556",649,0,0,0,0,0
"557",650,0,0,0,0,0
"558",651,0,0,0,0,0
"559",652,0,0,0,0,0
"560",653,0,0,0,0,0
"561",654,0,0,0,0,0
"562",655,0,0,0,0,0
"563",656,0,0,0,0,0
"564",657,0,0,0,0,0
"565",658,0,0,0,0,0
"566",659,0,0,0,0,0
"567",660,0,0,0,0,0
"568",661,0,0,0,0,0
"569",662,0,0,0,0,0
"570",663,0,0,0,0,0
"571",664,0,0,0,0,0
"572",665,0,0,0,0,0
"573",666,0,0,0,0,0
"574",667,0,0,0,0,0
"575",668,0,0,0,0,0
"576",669,0,0,0,0,0
"577",670,0,0,0,0,0
"578",671,0,0,0,0,0
"579",672,0,0,0,0,0
"580",673,0,0,0,0,0
"581",674,0,0,0,0,0
"582",675,0,0,0,0,0
"583",676,0,0,0,0,0
"584",677,2.25093413766713e-05,0,0,7.50311379222377e-06,1
"585",678,0,0,0,0,0
"586",679,0,0,0,0,0
"587",680,0,0,0,0,0
"588",681,0,0,0,0,0
"589",682,0,0,0,0,0
"590",683,0,0,0,0,0
"591",684,0,0,0,0,0
"592",685,0,0,0,0,0
"593",686,0,0,0,0,0
"594",687,0,0,0,0,0
"595",688,0,0,0,0,0
"596",689,0,0,0,0,0
"597",690,0,0,0,0,0
"598",691,0,0,0,0,0
"599",692,0,0,0,0,0
"600",693,0,0,0,0,0
"601",694,0,0,0,0,0
"602",695,0,0,0,0,0
"603",696,0,0,0,0,0
"604",697,0,0,0,0,0
"605",698,0,0,0,0,0
"606",699,0,0,0,0,0
"607",700,0,0,0,0,0
"608",701,0,0,0,0,0
"609",702,0,0,0,0,0
"610",703,0,0,0,0,0
"611",704,0,1.70404198759457e-05,1.61993163888484e-05,1.10799120882647e-05,2
"612",705,0,0,0,0,0
"613",706,0,0,0,0,0
"614",707,0,0,0,0,0
"615",708,0,0,0,0,0
"616",709,0,0,0,0,0
"617",710,0,0,0,0,0
"618",711,0,0,0,0,0
"619",712,0,0,0,0,0
"620",713,0,0,0,0,0
"621",714,0,0,0,0,0
"622",715,0,0,0,0,0
"623",716,0,0,0,0,0
"624",717,0,0,0,0,0
"625",718,0,0,0,0,0
"626",719,0,0,0,0,0
"627",720,0,0,0,0,0
"628",721,0,0,0,0,0
"629",722,0,0,0,0,0
"630",723,0,0,0,0,0
"631",724,0,0,0,0,0
"632",725,0,0,0,0,0
"633",726,0,0,0,0,0
"634",727,0,0,0,0,0
"635",728,0,0,0,0,0
"636",729,0,0,0,0,0
"637",730,0,0,0,0,0
"638",731,0,0,0,0,0
"639",732,0,0,0,0,0
"640",733,0,0,0,0,0
"641",734,0,0,0,0,0
"642",735,0,0,0,0,0
"643",736,0,0,0,0,0
"644",737,0,0,0,0,0
"645",738,0,0,0,0,0
"646",739,0,0,0,0,0
"647",740,0,0,0,0,0
"648",741,0,0,0,0,0
"649",742,0,0,0,0,0
"650",743,0,0,0,0,0
"651",744,0,0,0,0,0
"652",745,0,0,0,0,0
"653",746,0,0,0,0,0
"654",747,0,0,0,0,0
"655",748,0,0,0,0,0
"656",749,0,0,0,0,0
"657",750,0,0,0,0,0
"658",751,0,0,0,0,0
"659",752,0,0,0,0,0
"660",753,0,0,0,0,0
"661",754,0,0,0,0,0
"662",755,0,0,0,0,0
"663",756,0,0,0,0,0
"664",757,0,0,0,0,0
"665",758,0,0,0,0,0
"666",759,0,0,0,0,0
"667",760,0,0,0,0,0
"668",761,0,0,0,0,0
"669",762,0,0,0,0,0
"670",763,0,0,0,0,0
"671",764,0,0,0,0,0
"672",765,0,0,0,0,0
"673",766,0,0,0,0,0
"674",767,0,0,0,0,0
"675",768,0,0,0,0,0
"676",769,0,0,0,0,0
"677",770,0,0,0,0,0
"678",771,0,0,0,0,0
"679",772,0,0,0,0,0
"680",773,0,0,0,0,0
"681",774,0,0,0,0,0
"682",775,0,0,0,0,0
"683",776,0,0,0,0,0
"684",777,0,0,0,0,0
"685",778,0,0,0,0,0
"686",779,0,8.78780955059142e-05,1.67006246033602e-05,3.48595733697581e-05,2
"687",780,0,0,0,0,0
"688",781,0,0,0,0,0
"689",782,0,0,0,0,0
"690",783,0,0,0,0,0
"691",784,0,0,0,0,0
"692",785,0,0,0,0,0
"693",786,0,0,0,0,0
"694",787,0,0,0,0,0
"695",788,0,0,0,0,0
"696",789,0,0,0,0,0
"697",790,0,0,0,0,0
"698",791,0,0,0,0,0
"699",792,0,0,0,0,0
"700",793,0,0,0,0,0
"701",794,0,0,0,0,0
"702",795,0,0,0,0,0
"703",796,0,0,0,0,0
"704",797,0,0,0,0,0
"705",798,0,0,0,0,0
"706",799,0,0.000356894305751352,0,0.000118964768583784,1
"707",800,0,3.57519529504299e-05,1.70091168866512e-05,1.75870232790271e-05,2
"708",801,0,0,0,0,0
"709",802,0,0,0.000187620460864078,6.25401536213592e-05,1
"710",803,0,0,0,0,0
"711",804,0,0,0,0,0
"712",805,0,0,0,0,0
"713",806,0,0,0,0,0
"714",807,0,0,0,0,0
"715",808,0,0.000270988022329413,0,9.0329340776471e-05,1
"716",809,2.17443301659092e-05,0,0,7.24811005530308e-06,1
"717",810,0,0,0,0,0
"718",811,0,0,0,0,0
"719",812,0,0,0,0,0
"720",813,0,0,0,0,0
"721",814,0,0,1.73695546446189e-05,5.7898515482063e-06,1
"722",815,0,0,0,0,0
"723",816,0,0,0,0,0
"724",817,0,0,0,0,0
"725",818,0,0,0,0,0
"726",819,0,0,0,0,0
"727",820,0,0,0,0,0
"728",821,0,0,0,0,0
"729",822,0,0,0,0,0
"730",823,0,0,0,0,0
"731",824,0,0,0,0,0
"732",825,0,0,0,0,0
"733",826,NA,NA,NA,NA,NA
"734",827,NA,NA,NA,NA,NA
"735",828,NA,NA,NA,NA,NA
"736",829,NA,NA,NA,NA,NA
"737",830,NA,NA,NA,NA,NA
"738",831,NA,NA,NA,NA,NA
"739",832,NA,NA,NA,NA,NA
"740",833,NA,NA,NA,NA,NA
"741",834,NA,NA,NA,NA,NA
